Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 0:00,2020,1,1,0:00,-1,,-4.7,,76,,25,,16,,24.1,,98.11,,,,-6,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 1:00,2020,1,1,1:00,-1.1,,-4.9,,75,,25,,16,,24.1,,98.15,,,,-6,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 2:00,2020,1,1,2:00,-1.3,,-5.2,,75,,24,,10,,24.1,,98.17,,,,-5,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 3:00,2020,1,1,3:00,-1.4,,-5,,76,,23,,9,,24.1,,98.22,,,,-5,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 4:00,2020,1,1,4:00,-1.5,,-4.6,,79,,23,,10,,24.1,,98.25,,,,-5,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 5:00,2020,1,1,5:00,-1.9,,-4.8,,80,,23,,16,,24.1,,98.26,,,,-7,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 6:00,2020,1,1,6:00,-1.6,,-4.4,,81,,25,,17,,16.1,,98.29,,,,-7,,Snow
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 7:00,2020,1,1,7:00,-1.6,,-5,,78,,26,,18,,24.1,,98.33,,,,-7,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 8:00,2020,1,1,8:00,-1.6,,-5.4,,75,,24,,13,,24.1,,98.4,,,,-6,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 9:00,2020,1,1,9:00,-1.4,,-4.4,,80,,24,,11,,24.1,,98.46,,,,-5,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 10:00,2020,1,1,10:00,-0.9,,-3.7,,82,,22,,16,,24.1,,98.55,,,,-6,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 11:00,2020,1,1,11:00,-0.7,,-3.8,,80,,23,,18,,24.1,,98.59,,,,-6,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 12:00,2020,1,1,12:00,-0.5,,-4.8,,73,,25,,24,,24.1,,98.56,,,,-6,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 13:00,2020,1,1,13:00,-0.8,,-5.6,,70,,25,,19,,24.1,,98.56,,,,-6,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 14:00,2020,1,1,14:00,-0.8,,-6.3,,66,,25,,15,,24.1,,98.56,,,,-5,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 15:00,2020,1,1,15:00,-1.3,,-7.3,,64,,25,,17,,24.1,,98.59,,,,-6,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 16:00,2020,1,1,16:00,-1,,-6.7,,65,,22,,15,,24.1,,98.63,,,,-6,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 17:00,2020,1,1,17:00,-2,,-7.6,,66,,21,,14,,24.1,,98.73,,,,-7,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 18:00,2020,1,1,18:00,-3,,-7.6,,70,,20,,14,,24.1,,98.74,,,,-8,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 19:00,2020,1,1,19:00,-2.4,,-7.4,,69,,17,,21,,24.1,,98.73,,,,-8,,Mainly Clear
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 20:00,2020,1,1,20:00,-2.2,,-6.4,,73,,18,,21,,24.1,,98.71,,,,-8,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 21:00,2020,1,1,21:00,-2.1,,-6,,75,,17,,18,,24.1,,98.68,,,,-8,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 22:00,2020,1,1,22:00,-2,,-5.1,,80,,16,,18,,24.1,,98.63,,,,-7,,Mainly Clear
-79.63,43.68,TORONTO INTL A,6158731,01/01/2020 23:00,2020,1,1,23:00,-2.1,,-4.3,,85,,18,,19,,24.1,,98.63,,,,-8,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 0:00,2020,1,2,0:00,-1.2,,-3.2,,86,,17,,17,,24.1,,98.56,,,,-6,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 1:00,2020,1,2,1:00,-0.3,,-2.5,,85,,18,,19,,24.1,,98.54,,,,-5,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 2:00,2020,1,2,2:00,-0.1,,-2.5,,84,,18,,17,,24.1,,98.48,,,,-5,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 3:00,2020,1,2,3:00,0.6,,-1.9,,84,,18,,20,,24.1,,98.52,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 4:00,2020,1,2,4:00,1.4,,-1.2,,83,,16,,21,,24.1,,98.47,,,,,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 5:00,2020,1,2,5:00,2.1,,-0.9,,80,,16,,22,,24.1,,98.49,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 6:00,2020,1,2,6:00,2.8,,-0.9,,76,,18,,21,,24.1,,98.44,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 7:00,2020,1,2,7:00,3.1,,-1.2,,74,,19,,21,,24.1,,98.45,,,,,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 8:00,2020,1,2,8:00,3.4,,-1.6,,69,,18,,23,,24.1,,98.42,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 9:00,2020,1,2,9:00,3.8,,-1.8,,67,,20,,28,,24.1,,98.43,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 10:00,2020,1,2,10:00,4.8,,-2.1,,61,,19,,26,,24.1,,98.43,,,,,,Mainly Clear
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 11:00,2020,1,2,11:00,4.5,,-2.1,,62,,20,,28,,24.1,,98.42,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 12:00,2020,1,2,12:00,5.6,,-1.9,,58,,18,,25,,24.1,,98.34,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 13:00,2020,1,2,13:00,5.9,,-1.9,,57,,19,,26,,24.1,,98.27,,,,,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 14:00,2020,1,2,14:00,6,,-1.8,,57,,20,,29,,24.1,,98.23,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 15:00,2020,1,2,15:00,6.1,,-1.7,,58,,20,,27,,24.1,,98.23,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 16:00,2020,1,2,16:00,5.8,,-1.4,,60,,19,,29,,24.1,,98.22,,,,,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 17:00,2020,1,2,17:00,5.8,,-0.8,,62,,18,,27,,24.1,,98.28,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 18:00,2020,1,2,18:00,5.5,,-0.3,,66,,18,,25,,24.1,,98.28,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 19:00,2020,1,2,19:00,5.6,,0.2,,68,,18,,24,,24.1,,98.39,,,,,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 20:00,2020,1,2,20:00,5.7,,0.5,,69,,18,,22,,24.1,,98.38,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 21:00,2020,1,2,21:00,5.6,,1,,72,,18,,19,,24.1,,98.38,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 22:00,2020,1,2,22:00,5.6,,1,,72,,18,,23,,24.1,,98.37,,,,,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02/01/2020 23:00,2020,1,2,23:00,5,,1,,75,,18,,18,,24.1,,98.35,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 0:00,2020,1,3,0:00,5,,1.6,,79,,18,,21,,24.1,,98.33,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 1:00,2020,1,3,1:00,5.5,,2.2,,79,,19,,17,,24.1,,98.4,,,,,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 2:00,2020,1,3,2:00,5.9,,2.5,,79,,19,,19,,24.1,,98.48,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 3:00,2020,1,3,3:00,5.2,,2.5,,83,,18,,15,,24.1,,98.38,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 4:00,2020,1,3,4:00,4.6,,2.2,,84,,17,,13,,24.1,,98.41,,,,,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 5:00,2020,1,3,5:00,5.2,,2.9,,85,,18,,20,,24.1,,98.39,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 6:00,2020,1,3,6:00,5.6,,3.1,,84,,19,,14,,24.1,,98.46,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 7:00,2020,1,3,7:00,5.8,,3.2,,84,,18,,14,,24.1,,98.48,,,,,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 8:00,2020,1,3,8:00,5.5,,3.2,,85,,18,,12,,24.1,,98.52,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 9:00,2020,1,3,9:00,5.8,,3.5,,85,,19,,12,,19.3,,98.61,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 10:00,2020,1,3,10:00,6.4,,3.5,,82,,20,,13,,24.1,,98.66,,,,,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 11:00,2020,1,3,11:00,6.6,,3.1,,78,,26,,9,,19.3,,98.69,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 12:00,2020,1,3,12:00,6.5,,2.8,,77,,29,,14,,24.1,,98.62,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 13:00,2020,1,3,13:00,6.4,,2.5,,76,,29,,15,,24.1,,98.58,,,,,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 14:00,2020,1,3,14:00,6.1,,1.5,,73,,29,,20,,24.1,,98.62,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 15:00,2020,1,3,15:00,6,,1,,70,,27,,16,,24.1,,98.68,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 16:00,2020,1,3,16:00,5.7,,0.8,,71,,29,,16,,24.1,,98.71,,,,,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 17:00,2020,1,3,17:00,5.2,,0.1,,70,,32,,16,,24.1,,98.73,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 18:00,2020,1,3,18:00,4.8,,-0.5,,68,,30,,10,,24.1,,98.83,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 19:00,2020,1,3,19:00,4.2,,-1.2,,68,,26,,8,,24.1,,98.9,,,,,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 20:00,2020,1,3,20:00,3.4,,0.3,,80,,5,,13,,24.1,,98.92,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 21:00,2020,1,3,21:00,3,,0.1,,81,,6,,17,,24.1,,98.92,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 22:00,2020,1,3,22:00,2.8,,-0.1,,82,,5,,19,,24.1,,98.89,,,,,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,03/01/2020 23:00,2020,1,3,23:00,2.8,,-0.3,,80,,4,,16,,24.1,,98.87,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,04/01/2020 0:00,2020,1,4,0:00,2.6,,-0.7,,79,,5,,16,,24.1,,98.82,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,04/01/2020 1:00,2020,1,4,1:00,2.3,,-1.1,,78,,5,,19,,24.1,,98.79,,,,,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,04/01/2020 2:00,2020,1,4,2:00,2.1,,-1.5,,77,,6,,20,,24.1,,98.77,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,04/01/2020 3:00,2020,1,4,3:00,2,,-2,,75,,6,,16,,24.1,,98.8,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,04/01/2020 4:00,2020,1,4,4:00,1.8,,-2.1,,75,,5,,16,,16.1,,98.75,,,,,,"Rain,Snow"
-79.63,43.68,TORONTO INTL A,6158731,04/01/2020 5:00,2020,1,4,5:00,0.6,,-0.8,,90,,8,,15,,8.1,,98.75,,,,,,Snow
-79.63,43.68,TORONTO INTL A,6158731,04/01/2020 6:00,2020,1,4,6:00,0.2,,-0.5,,95,,7,,16,,2.4,,98.74,,,,,,Snow
-79.63,43.68,TORONTO INTL A,6158731,04/01/2020 7:00,2020,1,4,7:00,0,,-0.5,,96,,8,,17,,2.4,,98.73,,,,-5,,Snow
-79.63,43.68,TORONTO INTL A,6158731,04/01/2020 8:00,2020,1,4,8:00,0.2,,-0.4,,96,,6,,12,,9.7,,98.76,,,,,,Snow
